company_name,profile_url,overall_rating,total_reviews,industry,description,scraped_at,rating_job_security,rating_work_life_balance,rating_salary,rating_work_satisfaction,rating_promotions,rating_skill_development,rating_company_culture,rating_management
TP,https://www.ambitionbox.com/overview/tp-overview,38.6,38600,BPO sector,"Get an inside look of TP — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:25:57,5.0,N/A,5.0,N/A,5.0,N/A,5.0,N/A
Jio,https://www.ambitionbox.com/overview/jio-overview,4.4,33600,Telecom | TopTelecomCompanies in India | Telecom sector,"Get an inside look of Jio — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:01,4.3,4.3,4.4,4.1,N/A,4.3,4.3,N/A
Axis Bank,https://www.ambitionbox.com/overview/axis-bank-overview,3.6,33200,Banking(Financial Services) | Financial Services | Banking sector,"Get an inside look of Axis Bank — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:06,3.4,3.3,3.5,3.2,N/A,3.5,3.4,N/A
Concentrix Corporation,https://www.ambitionbox.com/overview/concentrix-corporation-overview,3.6,32299,BPO | BPO/KPO | Non-Profit | Recruitment | Software Product(Internet),"Get an inside look of Concentrix Corporation — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:10,3.4,3.5,3.9,3.1,N/A,3.3,3.4,N/A
Amazon,https://www.ambitionbox.com/overview/amazon-overview,3.9,31400,Internet | Retail | Urban Transport | Logistics | Emerging Technologies,"Get an inside look of Amazon — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:14,3.8,4.0,3.5,3.5,N/A,3.6,3.8,N/A
Reliance Retail,https://www.ambitionbox.com/overview/reliance-retail-overview,27.4,27400,Retail sector,"Get an inside look of Reliance Retail — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:18,5.0,N/A,5.0,N/A,5.0,N/A,5.0,N/A
iEnergizer,https://www.ambitionbox.com/overview/ienergizer-overview,27.1,27100,BPO sector,"Get an inside look of iEnergizer — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:23,5.0,N/A,5.0,N/A,5.0,N/A,3.0,N/A
LTIMindtree,https://www.ambitionbox.com/overview/ltimindtree-overview,3.6,26500,IT Services & Consulting | BPO/KPO | IT Services & Consulting sector,"Get an inside look of LTIMindtree — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:27,3.7,3.6,3.5,3.2,N/A,3.5,3.5,N/A
IBM,https://www.ambitionbox.com/overview/ibm-overview,3.9,25800,IT Services & Consulting | Financial Services | Emerging Technologies | IT Services & Consulting sector,"Get an inside look of IBM — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:32,4.0,3.9,3.9,3.5,N/A,3.7,3.9,N/A
HDB Financial Services,https://www.ambitionbox.com/overview/hdb-financial-services-overview,3.9,25700,NBFC(Financial Services) | BPO/KPO | Financial Services | Banking | NBFC sector,"Get an inside look of HDB Financial Services — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:34,3.8,3.7,3.8,3.4,N/A,3.7,3.6,N/A
Larsen & Toubro Limited,https://www.ambitionbox.com/overview/larsen-and-toubro-limited-overview,3.9,23900,Engineering & Construction | Defence & Aerospace | Industrial Machinery | Power(Renewable Energy) | Real Estate,"Get an inside look of Larsen & Toubro Limited — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:38,3.4,3.6,4.0,3.4,N/A,3.8,3.6,N/A
Deloitte,https://www.ambitionbox.com/overview/deloitte-overview,3.7,23200,Management Consulting | IT Services & Consulting | Accounting & Auditing(Accounting  |  Auditing) | Management Consulting sector,"Get an inside look of Deloitte — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:41,3.2,3.1,3.7,3.2,N/A,3.6,3.6,N/A
Kotak Mahindra Bank,https://www.ambitionbox.com/overview/kotak-mahindra-bank-overview,22.5,22500,Banking sector,"Get an inside look of Kotak Mahindra Bank — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:46,5.0,N/A,5.0,N/A,5.0,N/A,5.0,N/A
Reliance Industries,https://www.ambitionbox.com/overview/reliance-industries-overview,4.0,20200,Oil & Gas(Power) | Engineering & Construction | Petrochemicals | TopOil & GasCompanies in India | Oil & Gas sector,"Get an inside look of Reliance Industries — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:50,3.9,3.8,4.1,3.6,N/A,3.8,3.7,N/A
